msoa,brownfield area
E02002065,7.15
E02002066,7.23
E02002067,10.55
E02002068,31.78
E02002069,6.68
E02002070,1.76
E02002071,59.55
E02002072,5.71
E02002073,2.13
E02002075,0.76
E02002076,1.03
E02002077,8.05
E02002079,0.1
E02002080,20.86
E02002081,0.02
E02002084,0.9
E02002085,0.4
E02002087,0.09
E02002088,0.09
E02002089,1.13
E02002090,0.49
E02002092,0.4
E02002093,0.73
E02002094,0.18
E02002095,8.66
E02002096,3.44
E02002097,3.66
E02002098,0.37
E02002099,3.2
E02002101,1.1
E02002102,61.16
E02002105,1.51
E02002106,3.95
E02002108,2.94
E02002109,2.19
E02002110,0.31
E02002111,0.65
E02002113,0.11
E02002117,0.1
E02002118,0.95
E02002120,0.64
E02002121,0.54
E02002122,8.99
E02002123,0.68
E02002124,0.02
E02002127,11.87
E02002128,0.61
E02002129,0.13
E02002130,6.63
E02002131,0.38
E02002132,0.69
E02002133,0.27
E02002134,3.15
E02002135,4.82
E02002136,2.06
E02002139,4.49
E02002140,1.03
E02002142,2.76
E02002143,0.05
E02002144,0.16
E02002145,1.27
E02002146,0.09
E02002147,9.76
E02002148,1.97
E02002149,10.7102
E02002150,1.4299
E02002151,0.8171
E02002152,1.2166
E02002153,1.5641
E02002154,46.7656
E02002155,6.3016
E02002156,1.1596
E02002157,1.0476
E02002158,1.4601
E02002159,10.8004
E02002160,7.5385
E02002161,1.9356
E02002162,5.1457
E02002163,51.7518
E02002164,1.6213
E02002165,4.3018
E02002166,8.6799
E02002167,4.2242
E02002168,33.435
E02002169,2.156136
E02002170,2.4765
E02002171,2.969437
E02002174,2.5173
E02002175,4.83178
E02002176,1.1133
E02002177,43.712326
E02002178,2.1396
E02002179,1.598201
E02002180,0.9153
E02002181,10.3501
E02002182,2.4908
E02002183,0.24
E02002184,2.24
E02002185,3.72
E02002186,6.4
E02002187,0.81
E02002188,1.13
E02002189,1.75
E02002190,7.88
E02002191,5.96
E02002192,1.04
E02002193,0.89
E02002194,0.24
E02002195,0.82
E02002197,7.95
E02002198,0.55
E02002199,4.41
E02002200,0.93
E02002201,1.88
E02002202,15.22
E02002203,1.15
E02002205,6.81
E02002206,32.06
E02002207,1.41
E02002208,1.94
E02002209,4.02
E02002212,4.2
E02002213,7.41
E02002214,0.57
E02002216,3.59
E02002217,0.54
E02002218,3.98
E02002219,1.81
E02002220,0.88
E02002221,26.33
E02002222,7.12
E02002223,14.83
E02002224,2.16
E02002225,0.93
E02002226,13.67
E02002227,4.8
E02002228,3.58
E02002229,0.17
E02002230,4.77
E02002231,0.55
E02002232,2.78
E02002233,2.2
E02002234,4.72
E02002235,2.2
E02002236,0.05
E02002237,0.32
E02002238,0.74
E02002239,1.19
E02002240,1.8
E02002241,2.36
E02002242,0.79
E02002243,0.38
E02002244,2.55
E02002245,2.28
E02002246,0.05
E02002247,0.37
E02002248,0.19
E02002249,2.6
E02002251,14.16
E02002252,0.22
E02002254,1.22
E02002255,3.8
E02002256,2.58
E02002257,0.03
E02002258,1.19
E02002259,0.37
E02002261,3.19
E02002262,2.1
E02002263,2.32
E02002265,3.34
E02002266,1.94
E02002268,1.84
E02002269,2.06
E02002270,1.48
E02002271,1.26
E02002272,0.5
E02002273,1.08
E02002274,2.26
E02002275,12.3
E02002276,1.19
E02002277,2.81
E02002278,3.99
E02002279,1.73
E02002280,2.61
E02002281,0.6
E02002282,1.23
E02002283,1.79
E02002285,4.5
E02002286,1.28
E02002287,1.36
E02002288,0.9
E02002292,0.79
E02002293,4.98
E02002295,2.11
E02002296,0.7
E02002299,2.83
E02002300,0.64
E02002301,1.29
E02002302,1.41
E02002303,0.85
E02002304,0.75
E02002306,0.37
E02002307,4.22
E02002308,0.43
E02002309,0.21
E02002310,0.7
E02002311,1.8
E02002312,1.11
E02002313,0.48
E02002315,1.02
E02002316,0.35
E02002317,9.01
E02002318,0.57
E02002319,1.7
E02002320,17.78
E02002321,29.7
E02002322,7.63
E02002323,0.36
E02002324,1.8
E02002325,1.81
E02002326,1.87
E02002327,4.31
E02002328,1.34
E02002329,9.8
E02002331,100.59
E02002332,9.95
E02002333,3.65
E02002334,2.57
E02002335,1.39
E02002337,5.43
E02002338,0.24
E02002339,1.87
E02002340,5.96
E02002342,0.4
E02002343,0.26
E02002345,14.55
E02002346,1.28
E02002348,7.47
E02002349,1.38
E02002350,0.24
E02002351,5.79
E02002352,0.52
E02002353,0.4
E02002356,29.92
E02002357,4.27
E02002359,0.91
E02002360,1.47
E02002362,42.68
E02002363,0.61
E02002364,1.75
E02002366,0.3
E02002367,9.41
E02002368,3.62
E02002369,3.67
E02002370,6.22
E02002371,0.86
E02002373,0.22
E02002374,4.4
E02002375,4.04
E02002376,4.01
E02002377,0.33
E02002379,7.01
E02002380,3.23
E02002381,1.93
E02002382,0.45
E02002384,12.42
E02002385,1.04
E02002386,31.77
E02002387,4.22
E02002388,1.42
E02002389,2.88
E02002390,11.97
E02002391,1.63
E02002392,3.99
E02002393,3.61
E02002394,11.37
E02002395,2.15
E02002396,4.09
E02002397,3.53
E02002398,0.24
E02002399,18.45
E02002400,19.58
E02002401,3.26
E02002403,1.11
E02002404,13.55
E02002405,1.34
E02002406,7.99
E02002408,1.95
E02002409,11.26
E02002410,3.26
E02002411,28.06
E02002412,9.04
E02002414,3.68
E02002415,0.37
E02002416,2.11
E02002417,127.64
E02002418,1.18
E02002419,4.89
E02002420,2.81
E02002424,0.28
E02002425,8.94
E02002426,5.71
E02002428,2.48
E02002429,2.17
E02002430,5.91
E02002431,8.95
E02002432,4.19
E02002433,3.22
E02002434,9.57
E02002435,0.57
E02002436,2.41
E02002437,17.92
E02002438,0.72
E02002439,57.91
E02002440,8.37
E02002441,6.08
E02002442,0.39
E02002443,0.06
E02002445,1.31
E02002447,18.59
E02002448,2.29
E02002449,1.42
E02002450,0.26
E02002452,43.87
E02002453,15.43
E02002454,23.33
E02002455,1.66
E02002456,10.34
E02002457,0.06
E02002458,0.77
E02002459,8.67
E02002461,0.25
E02002462,3.91
E02002463,6.59
E02002464,0.28
E02002465,0.39
E02002466,2.4
E02002467,22.68
E02002468,0.63
E02002470,0.43
E02002473,0.55
E02002474,1.32
E02002475,0.69
E02002476,4.14
E02002477,0.77
E02002479,0.97
E02002480,0.87
E02002481,4.61
E02002482,2.07
E02002483,0.25
E02002484,29.19
E02002485,1.36
E02002487,3.25
E02002488,0.49
E02002489,6.759
E02002490,0.74
E02002491,2.69
E02002492,1.21
E02002493,19
E02002494,0.14
E02002496,0.05
E02002515,0.46
E02002518,2.97
E02002519,0.55
E02002520,1.36
E02002521,0.02
E02002523,10.68
E02002524,0.23
E02002525,0.67
E02002526,1.16
E02002527,4.32
E02002529,0.17
E02002530,4.66
E02002532,1.5
E02002534,0.27
E02002538,0.17
E02002544,6.35
E02002546,17.15
E02002548,78.64
E02002551,38.41
E02002553,0.6
E02002566,2.06
E02002567,0.44
E02002570,1.96
E02002572,2.16
E02002574,6.21
E02002575,0.34
E02002576,4.3
E02002578,0.69
E02002580,8.79
E02002581,3.01
E02002582,0.88
E02002583,0.36
E02002584,4.37
E02002585,18.45
E02002586,2.41
E02002587,0.46
E02002588,6.6
E02002590,2.85
E02002591,8.83
E02002592,1.8
E02002593,2.07
E02002595,0.91
E02002597,2.16
E02002598,56.94
E02002599,0.22
E02002600,2.15
E02002601,11.21
E02002602,5.58
E02002604,6.59
E02002605,3.06
E02002606,13.95
E02002607,87.05
E02002608,1.45
E02002609,31.675524
E02002610,11.65
E02002611,0.55
E02002612,2.54
E02002613,6.79
E02002614,0.18
E02002629,11.36
E02002630,0.62
E02002632,12.25
E02002633,0.268679
E02002634,3.74
E02002635,0.215922
E02002636,0.090475
E02002637,1.079196
E02002638,0.462327
E02002639,0.360767
E02002640,3.821518
E02002642,0.454874
E02002643,0.1
E02002645,3.504628
E02002646,4.831076
E02002647,0.32
E02002648,0.893893
E02002649,0.369572
E02002650,1.191644
E02002651,0.32452
E02002654,0.250594
E02002658,0.151786
E02002659,0.129412
E02002660,0.386288
E02002662,1.66
E02002665,1.310647
E02002666,0.305689
E02002667,1.015124
E02002668,4.16
E02002669,0.404754
E02002670,0.220484
E02002671,8.88
E02002675,0.429805
E02002676,0.038597
E02002677,0.695463
E02002678,3.000069
E02002680,9.207365
E02002681,0.5154
E02002684,7.76
E02002686,2.08
E02002687,1.51
E02002688,1.04
E02002689,4.72
E02002691,28.54
E02002692,3.58
E02002693,2.24
E02002694,3.27
E02002695,1.89
E02002696,0.68
E02002697,13.31
E02002698,3.63
E02002699,5.98
E02002701,2.69
E02002702,2.16
E02002703,0.26
E02002704,0.74
E02002705,4.26
E02002706,14.34
E02002707,1.08
E02002708,1.8
E02002709,0.98
E02002710,8.6
E02002711,0.63
E02002712,0.24
E02002714,13.872
E02002715,3.24
E02002716,1.76
E02002717,6.13
E02002719,4.31
E02002720,1.49
E02002721,2.83
E02002722,0.62
E02002723,6.85
E02002724,0.76
E02002725,1.4
E02002726,1.8
E02002727,0.52
E02002728,0.33
E02002729,0.16
E02002730,0.18
E02002731,0.174
E02002732,1.5505
E02002733,0.43
E02002734,0.6992
E02002735,8.83
E02002736,7.43
E02002737,0.573
E02002739,1.9
E02002740,11.065
E02002741,0.58
E02002742,0.023
E02002744,0.65
E02002745,0.24
E02002746,0.2
E02002747,1.961
E02002748,0.1958
E02002749,2.84
E02002750,4.71
E02002751,0.56
E02002752,2.13
E02002753,1
E02002754,6.03
E02002755,24.39
E02002756,1.95
E02002757,0.05
E02002758,9.68
E02002759,7.81
E02002761,0.93
E02002762,1.45
E02002764,2.3
E02002765,0.12
E02002768,0.34
E02002769,0.28
E02002770,16.61
E02002771,0.58
E02002777,0.113
E02002778,1.62
E02002779,0.25
E02002780,3.44
E02002781,19.716
E02002783,78.26
E02002784,3.21
E02002785,4.7
E02002786,0.1
E02002787,7.55
E02002788,70.668
E02002790,3.58
E02002791,0.48
E02002792,2.1
E02002793,1.81
E02002799,0.3
E02002800,0.51
E02002803,2.38
E02002804,0.58
E02002806,0.36
E02002808,3.431
E02002809,1.05
E02002811,0.3
E02002812,0.46
E02002813,21.2
E02002815,9
E02002816,1.18
E02002820,0.7
E02002821,11.23
E02002828,2.7
E02002831,0.32
E02002832,0.28
E02002833,0.1
E02002834,18.16
E02002835,0.47
E02002836,0.07
E02002844,0.02
E02002845,2.7
E02002847,2.37
E02002848,0.02
E02002849,0.89
E02002854,0.96
E02002855,2.8
E02002856,0.17
E02002857,1.49
E02002862,1
E02002866,1.7
E02002867,0.45
E02002868,0.75
E02002869,4.28
E02002871,1.09
E02002872,42.8
E02002873,2.86
E02002874,0.53
E02002875,5.46
E02002876,4.05
E02002877,2.92
E02002878,0.42
E02002879,6.85
E02002880,0.14
E02002881,3.04
E02002882,2.47
E02002883,1.32
E02002884,1.26
E02002885,1.25
E02002886,43.63
E02002887,2.1
E02002888,4.45
E02002889,1.43
E02002890,10.32
E02002891,1.19
E02002892,0.08
E02002893,7.56
E02002895,2.5
E02002896,30.03
E02002897,0.28
E02002898,9.35
E02002899,0.37
E02002901,0.18
E02002902,0.23
E02002903,1.02
E02002905,1.18
E02002906,1.39
E02002907,0.53
E02002908,1.63
E02002909,1.02
E02002910,1.03
E02002911,9.71
E02002912,0
E02002913,0.33
E02002914,0.36
E02002915,1.07
E02002916,14.55
E02002917,0.55
E02002918,0
E02002919,0.32
E02002920,12.92
E02002921,0
E02002922,0.27
E02002923,0.04
E02002924,0.22
E02002925,2.48
E02002926,0.99
E02002927,8.32
E02002930,0.8
E02002931,0.1
E02002933,5.24
E02002935,0.26
E02002936,3.04
E02002937,4.24
E02002938,2.79
E02002939,0.06
E02002940,1.72
E02002941,1.45
E02002942,33.2
E02002943,0.09
E02002944,0.08
E02002945,1.1
E02002946,0.43
E02002948,0.78
E02002951,0.17
E02002952,0.82
E02002953,2.16
E02002955,5.69
E02002956,0.24
E02002957,0.55
E02002958,2.65
E02002959,16.15
E02002961,23.13
E02002962,9.79
E02002963,0.17
E02002964,9.42
E02002965,22.77
E02002966,36.05
E02002967,7.66
E02002968,27.94
E02002969,27.549303
E02002970,7.66
E02002971,5.23
E02002972,6.16
E02002973,4.76
E02002974,2.2
E02002975,4.22
E02002976,0.25
E02002977,1.41
E02002978,1.21
E02002979,1.71
E02002980,3.9
E02002981,1.39
E02002982,26.34
E02002983,0.33
E02002985,0.08
E02002986,0.59
E02002987,1.2
E02002989,0.18
E02002991,2.63
E02002992,1.67
E02002993,10.18
E02002995,0.62
E02002996,0.04
E02002997,2.27
E02002999,0.27
E02003000,1.17
E02003003,0.59
E02003004,1.43
E02003005,1.97
E02003008,13.15
E02003009,0.03
E02003010,3.65
E02003011,0.61
E02003012,1.6
E02003013,4.82
E02003014,2.26
E02003015,0.66
E02003017,0.96
E02003019,2.19
E02003020,0.24
E02003021,1.95
E02003022,0.25
E02003023,7.13
E02003024,8.93
E02003025,8.48
E02003026,0.02
E02003027,1.06
E02003028,0.1
E02003029,0.52
E02003030,0.47
E02003031,1.59
E02003032,16.02
E02003033,1.11
E02003034,8.39
E02003036,4.32
E02003037,0.38
E02003038,0.82
E02003039,1.02
E02003040,2.42
E02003041,3.19
E02003043,19.06
E02003044,0.37
E02003045,0.3
E02003046,7.54
E02003047,2.16
E02003048,0.58
E02003049,0.94
E02003050,7.84
E02003051,10.95
E02003052,0.52
E02003053,2.74
E02003054,6.08
E02003055,0.15
E02003056,0.83
E02003057,2.09
E02003058,6.23
E02003059,10.9
E02003060,0.46
E02003061,0.64
E02003064,20.45
E02003065,1.22
E02003067,2.56
E02003068,0.06
E02003069,0.73
E02003070,1.94
E02003071,0.3
E02003072,1.32
E02003073,0.47
E02003074,2.24
E02003075,12.38
E02003076,7.46
E02003077,0.24
E02003078,0.25
E02003080,1
E02003082,0.79
E02003084,9.33
E02003085,7.02
E02003086,0.21
E02003087,3.93
E02003088,0.5
E02003089,0.51
E02003090,14.33
E02003091,3.46
E02003092,2.32
E02003093,1.53
E02003094,157.75
E02003095,1.38
E02003096,0.44
E02003097,4.13
E02003098,0.86
E02003099,0.75
E02003100,23.0303
E02003102,1.24
E02003104,0.34
E02003105,23.21
E02003106,23.21
E02003107,0.32
E02003108,9.98
E02003110,0.04
E02003111,0.6
E02003112,1.12
E02003113,8.45
E02003114,0.57
E02003115,1.87
E02003116,0.88
E02003117,7.18
E02003118,0.29
E02003119,0.18
E02003120,1.6865
E02003121,0.09
E02003123,10.17
E02003124,4.76
E02003125,1.12
E02003126,27.14
E02003127,1.31
E02003128,5.06
E02003129,16.34
E02003130,1.44
E02003132,0.45
E02003133,0.66
E02003135,0.68
E02003136,36.88
E02003137,1.06
E02003140,4.27
E02003141,0.08
E02003142,0.87
E02003143,0.37
E02003144,0.93
E02003145,1.57
E02003147,3.9
E02003148,11
E02003149,2.47
E02003150,24.23
E02003151,2.53
E02003152,52.79
E02003153,0.49
E02003155,0.77
E02003156,8.55
E02003157,0.59
E02003159,0.28
E02003161,4.79
E02003163,2.97
E02003164,0.17
E02003165,0.69
E02003166,12.75
E02003167,6.89
E02003169,5.04
E02003170,2.29
E02003171,1.75
E02003172,1.507
E02003173,0.427
E02003174,1.485
E02003175,0.155
E02003176,0.596
E02003177,0.28
E02003178,0.106
E02003179,0.11
E02003180,2.054
E02003181,0.426
E02003182,0.061
E02003183,0.052
E02003184,1.083999
E02003185,1.034
E02003186,1.675
E02003187,1.969
E02003188,20.306974
E02003189,1.592
E02003190,4.124453
E02003191,0.328
E02003192,12.674726
E02003194,0.472229
E02003196,1.334
E02003198,3.996
E02003199,15.934
E02003201,2.983115
E02003202,0.882
E02003203,2.514
E02003204,7.337
E02003205,2.108
E02003206,3.490123
E02003207,0.117004
E02003208,55.455
E02003209,38.852
E02003210,13.867279
E02003211,5.766321
E02003212,0.12
E02003214,0.76
E02003216,6.74
E02003217,0.5
E02003218,0.48
E02003219,53.73
E02003220,8.77
E02003221,0.42
E02003222,2.52
E02003223,5.39
E02003224,0.01
E02003225,4.44
E02003226,19.55
E02003227,5.16
E02003228,1.53
E02003230,11.16
E02003231,0.42
E02003233,3.76
E02003234,20.34
E02003235,6.27
E02003236,42.558621
E02003239,41
E02003240,1.8
E02003241,25.4
E02003242,3.4
E02003243,40.6
E02003245,10
E02003246,1.9
E02003247,2.5
E02003248,1.3
E02003249,35.9
E02003250,289.9
E02003252,363
E02003253,98
E02003254,62.5
E02003255,13.9
E02003257,5
E02003260,4.42
E02003261,0.5
E02003262,0.53
E02003263,2.45
E02003265,0.1
E02003266,0.15
E02003267,4.4
E02003268,0.28
E02003269,3.16
E02003271,1.7
E02003272,4.42
E02003273,24.69
E02003274,4.61
E02003275,22.61
E02003276,3.02
E02003277,0.49
E02003278,3.64
E02003288,23.586
E02003293,1.814
E02003296,0.9436
E02003297,0.2087
E02003298,0.1569
E02003299,1.5463
E02003300,0.7937
E02003301,4.972
E02003302,2.01
E02003303,3.1295
E02003304,0.4542
E02003305,11.2839
E02003307,5.2305
E02003308,18.2469
E02003309,0.187
E02003310,69.0763
E02003311,3.9137
E02003312,3.7057
E02003313,1.6408
E02003314,0.32
E02003316,0.57
E02003317,0.05
E02003319,0.12
E02003320,0.59
E02003321,0.2
E02003322,1.613017
E02003323,4.56
E02003324,1.317659
E02003325,0.48
E02003326,0.03
E02003327,1.23
E02003328,7.254446
E02003329,6.41
E02003330,0.313905
E02003331,0.882122
E02003332,0.31
E02003333,0.85
E02003335,0.29
E02003336,0.13
E02003337,3.56
E02003338,0.06
E02003339,0.19
E02003341,0.53
E02003342,0.21
E02003343,0.12
E02003344,0.19
E02003351,0.17
E02003352,5.71
E02003353,17.97
E02003354,4.37
E02003355,1.1
E02003357,6.71
E02003358,12.7473
E02003362,0.26
E02003363,0.8
E02003364,15
E02003366,0.13
E02003367,10.52
E02003368,0.14
E02003369,0.13
E02003370,1.47
E02003374,0.63
E02003375,0.24
E02003376,0.74
E02003377,8.14
E02003378,0.58
E02003379,1.55
E02003380,1.09
E02003381,0.47
E02003382,2.32
E02003384,0.13
E02003385,19.2
E02003386,0.06
E02003387,0.34
E02003388,0.77
E02003389,1.67
E02003391,0.36
E02003392,2.32
E02003393,0.52
E02003394,17.9
E02003395,6.59
E02003396,0.48
E02003398,3.8
E02003399,42.78
E02003400,0.89
E02003401,3.18
E02003402,1.14
E02003403,1.05
E02003404,0.15
E02003405,39.5
E02003408,0.14
E02003409,1.5
E02003410,0.72
E02003411,0.63
E02003412,5.44
E02003413,30.43
E02003414,1.29
E02003415,10.21
E02003416,7.8
E02003417,13.5
E02003418,0.51
E02003419,0.91
E02003420,0.28
E02003422,1
E02003424,1.29
E02003425,17
E02003426,0
E02003427,4
E02003429,4
E02003430,1
E02003431,1
E02003432,1
E02003433,1
E02003434,5
E02003435,0
E02003436,1
E02003437,29
E02003438,7
E02003440,0.07
E02003442,4.458028
E02003448,15.480452
E02003449,1.987045
E02003450,7.966776
E02003451,0.22
E02003452,1.046368
E02003453,6.56
E02003454,2.81
E02003455,5.229364
E02003456,81.204532
E02003494,0.23
E02003497,0.14
E02003498,0.4
E02003499,0.04
E02003500,0.1
E02003501,0.09
E02003502,0.06
E02003506,0.4
E02003509,0.59
E02003510,3.8
E02003511,0.2
E02003512,0.22
E02003516,0.34
E02003517,0.03
E02003518,1.66
E02003520,0.3
E02003522,2.34
E02003555,0.45
E02003556,25.4
E02003558,1.13
E02003561,0.47
E02003562,0.26
E02003565,0.14
E02003569,1.4
E02003570,1.33
E02003571,19.65
E02003572,0.2
E02003577,20.61
E02003579,0.66
E02003582,0.25
E02003583,2.78
E02003584,0.57
E02003585,2.23
E02003586,1.03
E02003587,0.08
E02003588,0.19
E02003589,0.12
E02003590,13.57
E02003591,0.7
E02003592,0.58
E02003594,4.16
E02003596,0.56
E02003597,1.52
E02003598,1.22
E02003602,0.17
E02003603,0.75
E02003606,6.8
E02003608,0.27
E02003609,4.39
E02003610,0.41
E02003611,225.13
E02003612,7.776
E02003614,3.552
E02003615,2.08
E02003618,0.84
E02003619,171.2
E02003625,0.1
E02003627,7.43
E02003628,24.41
E02003629,0.41
E02003630,22.33
E02003631,0.51
E02003632,0.58
E02003634,47.14
E02003635,54.35
E02003637,2.6
E02003639,0.92
E02003640,0.31
E02003642,1
E02003643,13.33
E02003644,1.47
E02003645,6.38
E02003646,1.43
E02003647,14.701
E02003652,5.32
E02003653,0.8
E02003657,0.91
E02003658,1.77
E02003659,0.78
E02003662,0.15
E02003663,6.6
E02003664,12.93
E02003665,1.11
E02003666,1.91
E02003670,3.73
E02003672,6.53
E02003676,7.15
E02003677,4.15
E02003678,0.52
E02003679,2.536
E02003680,0.78
E02003681,1.68
E02003682,0.62
E02003683,3.85
E02003685,1.13
E02003686,49.63
E02003687,0.29
E02003688,44.96
E02003689,15.29
E02003690,0.46
E02003691,0.98
E02003692,0.48
E02003693,3.75
E02003694,0.52
E02003695,45.93
E02003696,9.42
E02003697,0.37
E02003698,7.61
E02003699,10.33
E02003701,2.27
E02003702,15.79
E02003703,1.59
E02003704,0.09
E02003705,0.79
E02003706,0.16
E02003707,0.96
E02003708,6.84
E02003710,7.35
E02003711,5.09
E02003712,0.38
E02003714,0.42
E02003715,2.68
E02003716,0.36
E02003717,1.92
E02003718,2.17
E02003719,2.94
E02003720,3.12
E02003721,53.34
E02003722,3.24
E02003723,4.08
E02003724,0.93
E02003725,2.61
E02003726,4.64
E02003727,7.63
E02003728,13.16
E02003729,33.2
E02003730,16.66
E02003731,1.34
E02003732,0.8716
E02003733,0.816911
E02003734,4.015621
E02003735,12.170443
E02003736,3.882651
E02003737,7.108529
E02003738,8.888474
E02003739,8.044829
E02003740,0.992811
E02003742,13.621984
E02003743,2.437
E02003744,6.182
E02003745,0.45
E02003746,1.183
E02003747,9.298
E02003748,0.081
E02003749,0.54
E02003750,0.945
E02003751,1.9
E02003752,0.602
E02003753,0.26
E02003754,0.88
E02003755,4.8
E02003757,27
E02003758,0.73
E02003762,85.66
E02003764,7.05
E02003766,2.6
E02003767,0.66
E02003768,1.4
E02003770,0.85
E02003771,2.32
E02003773,3.2
E02003775,1.63
E02003776,1.19
E02003777,1622.12
E02003778,292.2
E02003779,2.92
E02003780,0.11
E02003781,76.41
E02003783,0.97
E02003784,2.02
E02003785,41.3
E02003786,0.32
E02003787,34.8
E02003788,17.45
E02003790,9.49
E02003791,4.04
E02003792,2.14
E02003793,4.52
E02003811,1.08
E02003812,4.18
E02003813,0.17
E02003815,0.26
E02003816,1.28
E02003817,0.79
E02003819,0.23
E02003820,2.49
E02003821,0.68
E02003822,6.41
E02003823,13.35
E02003825,0.38
E02003826,0.09
E02003827,7.21
E02003829,0.42
E02003830,0.45
E02003832,3.81
E02003834,1.78
E02003836,0.58
E02003837,3.15
E02003838,0.3
E02003839,0.76
E02003840,1.48
E02003853,11.1
E02003856,0.3
E02003858,1.23
E02003859,0.53
E02003861,0.11
E02003862,16.13
E02003863,0.76
E02003864,4.77
E02003865,0.38
E02003868,4.96
E02003869,1.37
E02003870,2.37
E02003871,0.34
E02003872,10.61
E02003873,2.23
E02003890,0.190924
E02003894,0.71
E02003896,0.19
E02003898,2.04
E02003900,0.05
E02003902,0.12
E02003906,31.44
E02003908,16.56
E02003909,0.61
E02003910,3.09
E02003911,1.54
E02003912,0.21
E02003913,1.21
E02003914,2.37
E02003915,0.01
E02003916,0.08
E02003919,2.17
E02003922,1.05
E02003923,0.73
E02003924,0.11
E02003925,0.22
E02003926,2.81
E02003928,0.04
E02003931,0.22
E02003932,2.15
E02003935,0.19
E02003937,0.56
E02003938,10.35
E02003941,0.66
E02003943,2.65
E02003944,3.31
E02003945,51.61
E02003946,0.5
E02003947,0.45
E02003949,0.93
E02003951,0.05
E02003952,1.03
E02003953,2.99
E02003954,1.5
E02003955,0.99
E02003956,0.66
E02003957,10.49
E02003959,0.24
E02003960,0.28
E02003961,1.39
E02003962,0.1
E02003963,1.34
E02003964,0.74
E02003965,9.4
E02003966,0.55
E02003967,0.88
E02003968,0.8
E02003969,4.77
E02003972,3.16
E02003973,3.52
E02003974,2.7
E02003975,0.52
E02003977,2.75
E02003978,1.44
E02003979,0.42
E02003980,16
E02003981,3.19
E02003982,10.91
E02003984,27.76
E02003985,6.96
E02003986,1.1
E02003987,14.28
E02003994,5.67
E02003995,3.07
E02003996,5.1
E02003997,8.71
E02003998,3.09
E02004000,3.26
E02004001,0.02
E02004002,3.46
E02004003,3.95
E02004004,5.83
E02004005,3.34
E02004006,0.46
E02004007,4.13
E02004008,5.247
E02004009,3.05
E02004010,4.947847
E02004011,5.17394
E02004012,5.994182
E02004013,12.934803
E02004014,1.0693
E02004017,0.2
E02004019,1.66
E02004023,1.02
E02004024,0.35
E02004026,1.93
E02004027,0.37
E02004029,2.54
E02004030,6.82
E02004031,5.26
E02004032,3.61
E02004033,1.46
E02004034,0.2
E02004035,18.13
E02004036,13.43
E02004038,18.32
E02004040,3.3
E02004041,1.74
E02004043,42.1
E02004044,2.25
E02004045,4.72
E02004046,2.08
E02004047,55.22
E02004048,5.91
E02004049,3.63
E02004051,8.41
E02004052,1.26
E02004053,3.31
E02004054,0.36
E02004055,1.29
E02004056,0.12
E02004058,4.73
E02004061,0.6
E02004064,21.28
E02004066,0.12
E02004068,3.08
E02004070,1.78
E02004071,10.73
E02004072,58.39
E02004073,20.31
E02004074,79.46
E02004075,0.32
E02004076,0.41
E02004077,80.79
E02004078,0.35
E02004080,1.36
E02004081,1.19
E02004082,0.09
E02004083,0.8
E02004085,123.54
E02004087,0.03
E02004089,5.99
E02004091,3.64
E02004093,3.84
E02004094,1.32
E02004095,2.03
E02004096,14.71
E02004097,9.71
E02004098,1.67
E02004100,8.289
E02004102,12.38
E02004104,5.44
E02004105,3.78
E02004106,0.92
E02004108,0.44
E02004109,0.64
E02004111,18.16
E02004113,2.55
E02004114,36.35
E02004115,0.86
E02004116,38.49
E02004117,0.25
E02004118,3.71
E02004119,16.91
E02004120,0.17
E02004122,2.47
E02004125,0.27
E02004126,3.55
E02004128,37.57
E02004164,4.11
E02004166,0.79
E02004167,5.25
E02004168,0.4
E02004169,0.45
E02004170,2.82
E02004171,1.21
E02004174,0.29
E02004175,0.63
E02004176,1.25
E02004177,3.98
E02004178,3.91
E02004179,3.27
E02004180,0.6
E02004181,1.6
E02004182,4.26
E02004183,11.71
E02004184,2.52
E02004185,27.72
E02004186,2.06
E02004187,3.38
E02004188,2.65
E02004189,0.34
E02004190,1.95
E02004191,0.46
E02004192,1.51
E02004194,7.9
E02004195,0.02
E02004197,6.56
E02004203,2.88
E02004217,6.81
E02004220,0.28
E02004221,0.99
E02004222,0.95
E02004223,7.6
E02004224,1.63
E02004225,10.6
E02004227,0.41
E02004228,2.65
E02004229,6.69
E02004232,1.51
E02004234,0.64
E02004237,7.826
E02004238,4.158679
E02004239,4.811
E02004240,4.01039
E02004241,12.374
E02004242,3.422
E02004243,6.63
E02004244,4.6
E02004246,13.8
E02004247,3.62
E02004248,0.43
E02004249,5.64
E02004250,0.3
E02004251,4.93
E02004252,6.7
E02004253,1.06
E02004254,1.99
E02004255,1.53
E02004256,1.35
E02004257,0.56
E02004258,2.79
E02004260,11.06
E02004261,2.73
E02004262,2.41
E02004263,1
E02004264,0.57
E02004265,3.78
E02004266,1.89
E02004268,2.88
E02004269,1.7
E02004270,0.75
E02004271,1.8
E02004272,2.69
E02004273,11.83
E02004274,0.96
E02004275,0.51
E02004276,7.2
E02004277,12.04
E02004278,5.05
E02004279,4.21
E02004280,0.89
E02004281,1.17
E02004282,0.37
E02004283,4.97
E02004284,15.66
E02004285,11.71
E02004286,0.28
E02004287,2.14
E02004288,1.7
E02004289,0.28
E02004291,3.17
E02004292,5.44
E02004296,0.9
E02004297,15.46
E02004299,0.22
